,alpha,beta
0,0.04983759790987541,1.8638883909025303
1,0.5456090144296416,1.7999385102891743
2,0.4528608884423674,1.3608731098591405
3,0.5235437322351645,0.16662659744167624
4,0.5316255665919369,3.7751812699821814
5,0.7629844821329328,1.4785183426852382
6,0.003631868732282273,3.196667291854779
7,0.22315579612643677,2.2508291723697265
8,0.23527628454512994,1.1419432864644816
9,0.7704997501187496,3.6036325061034087
10,0.23113398837589638,0.48139626495349197
11,0.42184653212806333,3.5678256877310073
12,0.11756209627886927,0.18722129640520296
13,0.8139488420414202,3.150547028539226
14,0.07933870313131719,2.570990954980849
15,0.04730986856082631,2.6592911032926105
16,0.3202245582779907,3.5167692476490373
17,0.8077913534575976,2.3361415338704665
18,0.2216802782962951,1.0890751574698831
19,0.6608616308284924,1.6583298660242967
20,0.6640916232504582,3.9275831129005305
21,0.6813489271660333,0.9276822154019188
22,0.4878331224326675,2.3759091598156656
23,0.5350437342765358,3.12548574171961
24,0.02009775288350346,1.866752399176306
25,0.42401723298660543,1.4982988971007556
26,0.5814501407294421,0.961201627320381
27,0.19222847796452525,0.7856763362983379
28,0.06769233576201283,2.881202728327661
29,0.9360282527512667,2.39248060974179
30,0.8946140731353681,0.12861752500161772
31,0.7754175286062882,2.484822845110052
32,0.2948410707902903,1.5102367150037426
33,0.7208058768704099,3.8440206026087758
34,0.6387813680861909,3.912880166340076
35,0.6778118304988957,1.9672776005751327
36,0.5253984821682989,0.12398262515172956
37,0.018243382809639774,1.3350458322063126
38,0.7859324858036226,1.165099898996615
39,0.44395212457046296,3.9391385538665906
40,0.5838258895797983,3.6355401073317575
41,0.3230183508769262,3.191330267588191
42,0.4283823475056985,0.592336230519403
43,0.549792336513543,1.8750839852460515
44,0.7374145734219477,3.3252971282644275
45,0.8123950373478057,1.4202073420175405
46,0.7933457491685852,2.0944577119167143
47,0.023439399957402518,3.419676747010321
48,0.3427833499490225,1.290816358502027
49,0.6246973994156969,1.4536266110503626
50,0.04673943208645437,1.6871813278815848
51,0.55752420731424,0.9672709985380732
52,0.45470170383516906,0.7794030416576037
53,0.7387453442100509,3.9332892574314693
54,0.6915155220901618,0.1410870835901868
55,0.8705639371403922,3.0876985977846627
56,0.10069739882143125,3.8306557717090444
57,0.1400159763713399,1.7829210483303775
58,0.6944204200936992,3.871227225995816
59,0.47136768012928976,0.792337188564073
60,0.07008313282755574,1.6526765987635552
61,0.8756147266295894,0.5643958145956364
62,0.5674776948333027,2.717481206182873
63,0.47274279873792535,0.3639458020760965
64,0.5061029452760167,2.301393000326009
65,0.931160754944114,1.5748185531130658
66,0.6654063663478986,3.3766803199649957
67,0.936280619107783,0.18921461388318578
68,0.4682849642619038,1.066491993197326
69,0.11657502624325888,3.3212683756664068
70,0.6313395243169981,3.184586356639983
71,0.7864195575982844,3.3225620547216654
72,0.9947707940293639,1.617433712818596
73,0.9165945241731166,3.4226742715591656
74,0.3397577278827013,3.5128153431571896
75,0.9045287539105649,0.13280660652277776
76,0.030106095522233867,0.703088858939672
77,0.5800205626417336,1.2811229518205642
78,0.9999578470067122,1.5713413033932844
79,0.7161776974253173,3.250367201032364
80,0.17293623947526138,2.154885565168407
81,0.4083659993030857,2.9610005242806814
82,0.4750650636447228,0.5953305358400627
83,0.49106592439745334,0.35130283866532996
84,0.26632340332357884,0.5866216454166854
85,0.1303537645758529,0.7319175025907957
86,0.5271756436679554,3.231177046702101
87,0.7647107679598376,3.497871273194492
88,0.3060620554172909,1.7017493697570354
89,0.8673425076701106,1.831424945453258
90,0.07122437920043556,2.189170032238706
91,0.8315740168340161,2.4862266178753765
92,0.45094861010596965,3.975404404427106
93,0.46494950392869294,3.168210479486093
94,0.4145520788017092,0.35352404679915206
95,0.17951035072030264,3.954549207420323
96,0.4079216712231095,0.3463247154398804
97,0.09492602705730502,1.9932617342201397
98,0.3952005984947933,1.7506749818667664
99,0.9730574175119663,3.251076503848579
